Class;PredefinedType;Name;BuildingStorey;Material;PSET_RÔGGA.RÔGGA_SEÇÃO;PSET_RÔGGA.RÔGGA_DESCRIÇÃO;Width;Thickness;Length;Height;FileName;GlobalId;Disciplina_Prevista
IfcBeam;LINTEL;Verga e contraverga:400 x 800mm:3990740;35. TP1;Concrete, Cast-in-Place gray;;RÔG_VER_Verga e contraverga: 400 x 800mm;;;0,8149999999999994;;PHN21043-ARQ-EX-0002-BIM-TOR-GER-R01.ifc;3PbWJw7mv2_fn0$fobZxeg;Arquitetura
IfcBeam;LINTEL;Verga e contraverga:400 x 800mm:4016195;36. TAP;Concrete, Cast-in-Place gray;;RÔG_VER_Verga e contraverga: 400 x 800mm;;;0,8149999999999994;;PHN21043-ARQ-EX-0002-BIM-TOR-GER-R01.ifc;3PbWJw7mv2_fn0$fobZXQz;Arquitetura
IfcBeam;LINTEL;Verga e contraverga:400 x 800mm:4016203;37. TP1;Concrete, Cast-in-Place gray;;RÔG_VER_Verga e contraverga: 400 x 800mm;;;0,8149999999999994;;PHN21043-ARQ-EX-0002-BIM-TOR-GER-R01.ifc;3PbWJw7mv2_fn0$fobZXQr;Arquitetura
IfcBeam;LINTEL;Verga e contraverga:400 x 800mm:4016211;ATC;Concrete, Cast-in-Place gray;;RÔG_VER_Verga e contraverga: 400 x 800mm;;;0,8149999999999994;;PHN21043-ARQ-EX-0002-BIM-TOR-GER-R01.ifc;3PbWJw7mv2_fn0$fobZXQj;Arquitetura
IfcBeam;LINTEL;Verga e contraverga:400 x 800mm:4016221;10. TP1;Concrete, Cast-in-Place gray;;RÔG_VER_Verga e contraverga: 400 x 800mm;;;0,8149999999999994;;PHN21043-ARQ-EX-0002-BIM-TOR-GER-R01.ifc;3PbWJw7mv2_fn0$fobZXQZ;Arquitetura
IfcBeam;LINTEL;Verga e contraverga:400 x 800mm:4016229;09. TP1;Concrete, Cast-in-Place gray;;RÔG_VER_Verga e contraverga: 400 x 800mm;;;0,8149999999999994;;PHN21043-ARQ-EX-0002-BIM-TOR-GER-R01.ifc;3PbWJw7mv2_fn0$fobZXQR;Arquitetura
IfcBeam;LINTEL;Verga e contraverga:400 x 800mm:4016237;08. TP1;Concrete, Cast-in-Place gray;;RÔG_VER_Verga e contraverga: 400 x 800mm;;;0,8149999999999994;;PHN21043-ARQ-EX-0002-BIM-TOR-GER-R01.ifc;3PbWJw7mv2_fn0$fobZXQJ;Arquitetura
IfcBeam;LINTEL;Verga e contraverga:400 x 800mm:4019206;36. TAP;Concrete, Cast-in-Place gray;;RÔG_VER_Verga e contraverga: 400 x 800mm;;;1,5099999999999973;;PHN21043-ARQ-EX-0002-BIM-TOR-GER-R01.ifc;3PbWJw7mv2_fn0$fobZWhu;Arquitetura
IfcBeam;LINTEL;Verga e contraverga:400 x 800mm:4019590;35. TP1;Concrete, Cast-in-Place gray;;RÔG_VER_Verga e contraverga: 400 x 800mm;;;1,5099999999999973;;PHN21043-ARQ-EX-0002-BIM-TOR-GER-R01.ifc;3PbWJw7mv2_fn0$fobZWju;Arquitetura
IfcBeam;LINTEL;Verga e contraverga:400 x 800mm:4019620;37. TP1;Concrete, Cast-in-Place gray;;RÔG_VER_Verga e contraverga: 400 x 800mm;;;1,5099999999999973;;PHN21043-ARQ-EX-0002-BIM-TOR-GER-R01.ifc;3PbWJw7mv2_fn0$fobZWjQ;Arquitetura
IfcBeam;LINTEL;Verga e contraverga:400 x 800mm:4019657;34. TPA;Concrete, Cast-in-Place gray;;RÔG_VER_Verga e contraverga: 400 x 800mm;;;1,5099999999999973;;PHN21043-ARQ-EX-0002-BIM-TOR-GER-R01.ifc;3PbWJw7mv2_fn0$fobZWit;Arquitetura
IfcBeam;LINTEL;Verga e contraverga:400 x 800mm:4019665;09. TP1;Concrete, Cast-in-Place gray;;RÔG_VER_Verga e contraverga: 400 x 800mm;;;1,5099999999999973;;PHN21043-ARQ-EX-0002-BIM-TOR-GER-R01.ifc;3PbWJw7mv2_fn0$fobZWil;Arquitetura
IfcBeam;LINTEL;Verga e contraverga:400 x 800mm:4019673;08. TP1;Concrete, Cast-in-Place gray;;RÔG_VER_Verga e contraverga: 400 x 800mm;;;1,5099999999999973;;PHN21043-ARQ-EX-0002-BIM-TOR-GER-R01.ifc;3PbWJw7mv2_fn0$fobZWid;Arquitetura
IfcBeam;LINTEL;Verga e contraverga:400 x 800mm:4019681;07. TGD;Concrete, Cast-in-Place gray;;RÔG_VER_Verga e contraverga: 400 x 800mm;;;1,5099999999999973;;PHN21043-ARQ-EX-0002-BIM-TOR-GER-R01.ifc;3PbWJw7mv2_fn0$fobZWiV;Arquitetura
IfcBeam;LINTEL;Verga e contraverga:400 x 800mm:4020589;37. TP1;Concrete, Cast-in-Place gray;;RÔG_VER_Verga e contraverga: 400 x 800mm;;;1,4850000000000014;;PHN21043-ARQ-EX-0002-BIM-TOR-GER-R01.ifc;3PbWJw7mv2_fn0$fobZWUJ;Arquitetura
IfcBeam;LINTEL;Verga e contraverga:400 x 800mm:4020835;36. TAP;Concrete, Cast-in-Place gray;;RÔG_VER_Verga e contraverga: 400 x 800mm;;;1,4850000000000005;;PHN21043-ARQ-EX-0002-BIM-TOR-GER-R01.ifc;3PbWJw7mv2_fn0$fobZWIT;Arquitetura
IfcBeam;LINTEL;Verga e contraverga:400 x 800mm:4021003;35. TP1;Concrete, Cast-in-Place gray;;RÔG_VER_Verga e contraverga: 400 x 800mm;;;1,4850000000000005;;PHN21043-ARQ-EX-0002-BIM-TOR-GER-R01.ifc;3PbWJw7mv2_fn0$fobZWNr;Arquitetura
IfcBeam;LINTEL;Verga e contraverga:400 x 800mm:4021011;34. TPA;Concrete, Cast-in-Place gray;;RÔG_VER_Verga e contraverga: 400 x 800mm;;;1,4850000000000005;;PHN21043-ARQ-EX-0002-BIM-TOR-GER-R01.ifc;3PbWJw7mv2_fn0$fobZWNj;Arquitetura
IfcBeam;LINTEL;Verga e contraverga:400 x 800mm:4021021;09. TP1;Concrete, Cast-in-Place gray;;RÔG_VER_Verga e contraverga: 400 x 800mm;;;1,4850000000000005;;PHN21043-ARQ-EX-0002-BIM-TOR-GER-R01.ifc;3PbWJw7mv2_fn0$fobZWNZ;Arquitetura
IfcBeam;LINTEL;Verga e contraverga:400 x 800mm:4021029;08. TP1;Concrete, Cast-in-Place gray;;RÔG_VER_Verga e contraverga: 400 x 800mm;;;1,4850000000000005;;PHN21043-ARQ-EX-0002-BIM-TOR-GER-R01.ifc;3PbWJw7mv2_fn0$fobZWNR;Arquitetura
IfcBeam;LINTEL;Verga e contraverga:400 x 800mm:4021039;07. TGD;Concrete, Cast-in-Place gray;;RÔG_VER_Verga e contraverga: 400 x 800mm;;;1,4850000000000005;;PHN21043-ARQ-EX-0002-BIM-TOR-GER-R01.ifc;3PbWJw7mv2_fn0$fobZWNH;Arquitetura
IfcBeam;LINTEL;Verga e contraverga:400 x 800mm:4021130;37. TP1;Concrete, Cast-in-Place gray;;RÔG_VER_Verga e contraverga: 400 x 800mm;;;1,4099999999999968;;PHN21043-ARQ-EX-0002-BIM-TOR-GER-R01.ifc;3PbWJw7mv2_fn0$fobZWLq;Arquitetura
IfcBeam;LINTEL;Verga e contraverga:400 x 800mm:4021461;36. TAP;Concrete, Cast-in-Place gray;;RÔG_VER_Verga e contraverga: 400 x 800mm;;;1,4099999999999968;;PHN21043-ARQ-EX-0002-BIM-TOR-GER-R01.ifc;3PbWJw7mv2_fn0$fobZW8h;Arquitetura
IfcBeam;LINTEL;Verga e contraverga:400 x 800mm:4021471;35. TP1;Concrete, Cast-in-Place gray;;RÔG_VER_Verga e contraverga: 400 x 800mm;;;1,4099999999999968;;PHN21043-ARQ-EX-0002-BIM-TOR-GER-R01.ifc;3PbWJw7mv2_fn0$fobZW8X;Arquitetura
