Class;PredefinedType;Name;BuildingStorey;Material;PSET_RÔGGA.RÔGGA_SEÇÃO;PSET_RÔGGA.RÔGGA_DESCRIÇÃO;Width;Thickness;Length;Height;FileName;GlobalId;Ô_CLS_CLASSIFICAÇÃO_SOLIBRI
IfcBuildingElementProxy;NOTDEFINED;Identificador de Origem1:Identificador de Origem:3614967:Identificador de Origem:3614967 : Identificador de Origem1:Identificador de Origem:3614967:1547859;01.1 TER;<Unnamed>;;;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;3zo9X6EYvA$v1Kfg_uJf4V;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE PARA 2 CONDENSADORA - SEM MURETA:1678403;34. TPA;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;2RHGRx1Qr3VOG8Ua072XdS;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1678640;34. TPA;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;2RHGRx1Qr3VOG8Ua072XYl;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE PARA 2 CONDENSADORA - SEM MURETA:1678852;34. TPA;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;2RHGRx1Qr3VOG8Ua072XkR;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1678855;34. TPA;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;2RHGRx1Qr3VOG8Ua072XkO;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1680758;07. TGD;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;2RHGRx1Qr3VOG8Ua072Y3f;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1680938;07. TGD;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;2RHGRx1Qr3VOG8Ua072YEr;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1680940;07. TGD;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;2RHGRx1Qr3VOG8Ua072YEp;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1680943;07. TGD;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;2RHGRx1Qr3VOG8Ua072YEm;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1688118;08. TP1;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;3N9YdziCPF3w4YdkSNhMzI;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1688276;08. TP1;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;3N9YdziCPF3w4YdkSNhM_m;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1688278;08. TP1;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;3N9YdziCPF3w4YdkSNhM_o;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1688281;08. TP1;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;3N9YdziCPF3w4YdkSNhM_z;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1697545;35. TP1;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;0otw5s5SX4FBEitaUuxJbQ;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1697703;35. TP1;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;0otw5s5SX4FBEitaUuxJdq;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1697705;35. TP1;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;0otw5s5SX4FBEitaUuxJdw;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1697708;35. TP1;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;0otw5s5SX4FBEitaUuxJd$;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1702125;36. TAP;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;0otw5s5SX4FBEitaUuxIQ_;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1702283;36. TAP;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;0otw5s5SX4FBEitaUuxIVO;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1702285;36. TAP;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;0otw5s5SX4FBEitaUuxIVU;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1702288;36. TAP;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;0otw5s5SX4FBEitaUuxIV3;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1707054;37. TP1;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;0otw5s5SX4FBEitaUuxj9z;Bombas de recalque, de drenagem pluvial
