Class;PredefinedType;Name;BuildingStorey;Material;PSET_RÔGGA.RÔGGA_SEÇÃO;PSET_RÔGGA.RÔGGA_DESCRIÇÃO;Width;Thickness;Length;Height;FileName;GlobalId;Disciplina_Prevista
IfcBuildingElementProxy;NOTDEFINED;Identificador de Origem1:Identificador de Origem:3614967:Identificador de Origem:3614967 : Identificador de Origem1:Identificador de Origem:3614967:1547859;01.1 TER;<Unnamed>;;;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;3zo9X6EYvA$v1Kfg_uJf4V;Impermeabilização
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE PARA 2 CONDENSADORA - SEM MURETA:1678403;34. TPA;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;2RHGRx1Qr3VOG8Ua072XdS;Impermeabilização
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1678640;34. TPA;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;2RHGRx1Qr3VOG8Ua072XYl;Impermeabilização
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE PARA 2 CONDENSADORA - SEM MURETA:1678852;34. TPA;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;2RHGRx1Qr3VOG8Ua072XkR;Impermeabilização
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1678855;34. TPA;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;2RHGRx1Qr3VOG8Ua072XkO;Impermeabilização
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1680758;07. TGD;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;2RHGRx1Qr3VOG8Ua072Y3f;Impermeabilização
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1680938;07. TGD;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;2RHGRx1Qr3VOG8Ua072YEr;Impermeabilização
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1680940;07. TGD;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;2RHGRx1Qr3VOG8Ua072YEp;Impermeabilização
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1680943;07. TGD;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;2RHGRx1Qr3VOG8Ua072YEm;Impermeabilização
IfcBuildingElementProxy;NOTDEFINED;ARC - SUPORTE PARA CONDENSADORAS:SUPORTE E BASE PARA 2 CONDENSADORAS - COM MURETA:1688118;08. TP1;Steel;--;ROG_SUP_BASE PARA CONDENSADORAS;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;3N9YdziCPF3w4YdkSNhMzI;Impermeabilização
